,Date,Volume,Trade_value,Opening,Highest,Lowest,Closing,Change,Transaction
157,20191030,32370342,9646551600,298.5,299.5,296.5,299.5,1.0,11084
158,20191031,43123514,12921309531,300.0,301.5,298.5,298.5,-1.0,12997
159,20190902,14776854,3800453292,258.0,258.0,256.0,257.5,-1.5,7608
160,20190903,26086495,6642868555,256.5,258.0,253.0,254.0,-3.5,11210
161,20190904,23697733,6081456520,254.0,258.0,254.0,257.5,3.5,9291
162,20190905,49041728,12869665251,263.0,263.0,260.5,263.0,5.5,22796
163,20190906,26609515,7016868801,265.0,265.0,263.0,263.5,0.5,11957
164,20190909,17317833,4585545966,265.5,266.0,263.5,265.0,1.5,8762
165,20190910,30019866,7862297242,263.5,264.0,260.5,261.5,-3.5,11831
166,20190911,36266015,9508884445,264.0,264.5,260.5,263.0,1.5,12058
167,20190912,38792293,10198483555,265.0,265.0,261.5,262.5,-0.5,8282
168,20190916,38913966,10258240252,262.0,265.5,261.5,265.5,3.0,11120
169,20190917,30069844,7979032930,266.5,266.5,264.5,265.0,-0.5,9222
170,20190918,51360759,13754334364,267.0,269.5,266.5,267.0,2.0,17993
171,20190919,27165567,7216457755,268.0,268.0,264.0,265.0,0.0,10194
172,20190920,44555865,11785924559,266.0,266.5,264.0,264.0,-1.0,9109
173,20190923,14220208,3749146092,264.0,264.0,263.0,264.0,0.0,5647
174,20190924,24304943,6419420695,263.5,265.5,262.0,265.0,1.0,9180
175,20190925,23244163,6144037875,262.5,266.0,262.0,266.0,1.0,7145
176,20190926,34128103,9139219995,269.0,269.5,266.5,268.0,2.0,11861
177,20190927,44242817,12021629536,271.5,272.5,271.0,272.0,4.0,16626
178,20190801,30107526,7722031382,257.5,257.5,255.5,256.5,-3.0,11372
179,20190802,54165644,13627068452,252.0,253.5,250.5,251.5,-5.0,18096
180,20190805,52835721,13092403583,251.0,252.0,245.5,246.5,-5.0,20136
181,20190806,58916879,14440787992,240.0,250.0,240.0,248.5,2.0,22358
182,20190807,29435460,7305272500,250.0,250.5,246.5,248.0,-0.5,11208
183,20190808,30140266,7599200564,248.0,254.0,248.0,253.5,5.5,11228
184,20190812,24732603,6242935989,254.5,254.5,251.0,251.0,-2.5,8415
185,20190813,25045107,6204239476,249.0,249.5,246.5,246.5,-4.5,11377
186,20190814,36336703,9142333535,252.5,254.0,249.5,249.5,3.0,13609
187,20190815,28277412,6994442633,247.0,248.5,246.0,248.0,-1.5,10852
188,20190816,25696715,6420744887,249.5,252.0,248.0,250.0,2.0,8994
189,20190819,25098514,6326683127,251.5,253.0,250.5,252.0,2.0,9398
190,20190820,20620494,5233263533,254.0,254.5,252.5,254.5,2.5,8214
191,20190821,20269296,5152545480,254.5,255.0,253.0,254.5,0.0,7383
192,20190822,22136840,5659296700,257.0,257.5,254.0,254.0,-0.5,8794
193,20190823,14772877,3748071178,253.5,254.5,253.0,254.0,0.0,5663
194,20190826,31740620,7910873500,249.0,250.5,248.5,248.5,-5.5,13388
195,20190827,53664951,13410582151,250.5,251.0,248.5,250.0,1.5,8939
196,20190828,15280882,3852096070,250.5,253.0,250.5,252.0,2.0,6829
197,20190829,20085767,5078703588,253.0,254.0,251.0,254.0,2.0,6596
198,20190830,35299201,9092482858,256.5,259.0,256.0,259.0,5.0,13703
199,20190701,66370875,16445222750,245.5,250.0,245.0,248.5,9.5,29551
200,20190702,26832202,6671951743,249.5,250.0,247.5,249.0,0.5,12531
201,20190703,29549774,7190777082,244.0,245.0,242.0,242.5,-6.5,16033
202,20190704,18691240,4561556160,244.5,245.0,242.5,244.0,1.5,8565
203,20190705,27317074,6624379927,244.5,245.0,241.5,243.0,-1.0,9013
204,20190708,29190909,7057462187,240.0,244.5,240.0,242.5,-0.5,10552
205,20190709,16538987,3998096596,241.5,243.0,240.5,242.0,-0.5,6486
206,20190710,23812131,5839691357,243.0,247.0,243.0,247.0,5.0,12366
207,20190711,31296289,7809358257,250.0,250.0,247.5,250.0,3.0,14360
208,20190712,23868432,5984689000,252.0,252.0,249.5,250.5,0.5,8363
209,20190715,34264300,8663129910,251.0,254.5,249.5,254.5,4.0,12174
210,20190716,26141249,6678755679,254.0,256.5,253.5,256.0,1.5,8994
211,20190717,34346648,8686815824,254.0,254.0,251.0,252.0,-4.0,11106
212,20190718,20908575,5300082470,252.0,254.5,251.5,254.0,2.0,8245
213,20190719,59879798,15573278932,259.5,261.0,259.0,259.0,5.0,21827
214,20190722,31863639,8385222407,263.0,264.0,262.0,264.0,5.0,13424
215,20190723,29273223,7734089131,265.5,266.5,262.5,264.0,0.0,12791
216,20190724,24511039,6484708226,266.5,266.5,263.0,265.0,1.0,10617
217,20190725,30698545,8091922380,264.0,265.0,261.5,265.0,0.0,10643
218,20190726,20768071,5434082968,261.0,262.5,261.0,261.0,-4.0,8850
219,20190729,18473320,4822762518,260.0,262.0,259.5,261.0,0.0,6681
220,20190730,22895612,5975389270,262.5,263.0,260.0,260.0,-1.0,7191
221,20190731,36365601,9413416604,260.0,260.0,257.0,259.5,-0.5,10468
222,20190603,36687092,8651389851,235.5,238.5,232.0,238.0,2.5,8857
223,20190604,24443428,5745045809,237.5,238.0,233.0,233.0,-5.0,11779
224,20190605,35901584,8461930934,238.0,238.0,234.0,235.0,2.0,12064
225,20190606,34651731,8008768323,231.5,232.0,229.5,232.0,-3.0,14723
226,20190610,35521888,8442986620,237.5,240.0,234.5,240.0,8.0,15588
227,20190611,34691670,8448805962,240.0,246.0,239.0,244.5,4.5,13157
228,20190612,30409556,7469805086,244.5,247.5,243.0,246.0,1.5,11457
229,20190613,33731724,8136137708,242.5,244.0,240.0,240.0,-6.0,13552
230,20190614,35403556,8396819832,238.5,239.5,236.0,236.0,-4.0,14911
231,20190617,51692012,12043369475,231.5,235.0,230.5,233.0,-3.0,20943
232,20190618,28798087,6758454612,234.0,235.5,233.0,235.5,2.5,9681
233,20190619,50234372,12181979568,242.5,244.0,240.5,244.0,8.5,20528
234,20190620,39717291,9697726719,242.0,245.5,241.0,245.0,1.0,13879
235,20190621,62136304,15398139830,248.0,248.5,246.0,248.5,3.5,19049
236,20190624,43460507,10476936660,241.0,242.0,240.0,241.0,0.0,17780
237,20190625,29735283,7118002390,241.0,241.5,237.0,238.5,-2.5,11130
238,20190626,28770041,6757991717,235.0,236.5,234.0,234.5,-4.0,13535
239,20190627,42007834,10063332494,236.0,241.5,236.0,240.5,6.0,14983
240,20190628,28085212,6715488371,241.5,241.5,238.0,239.0,-1.5,8987
