,Rank,Stock_id,Company_name,Proportion
449,450,1701,中化,0.000194
450,451,1709,和益,0.000193
451,452,1589,永冠-KY,0.000193
452,453,8114,振樺電,0.000193
453,454,6183,關貿,0.00019199999999999998
454,455,5288,豐祥-KY,0.00019099999999999998
455,456,6672,騰輝電子-KY,0.00019099999999999998
456,457,2010,春源,0.00019099999999999998
457,458,1737,臺鹽,0.00018999999999999998
458,459,3530,晶相光,0.000189
459,460,3454,晶睿,0.000189
460,461,9927,泰銘,0.000189
461,462,6189,豐藝,0.00018800000000000002
462,463,2107,厚生,0.00018800000000000002
463,464,1219,福壽,0.00018700000000000002
464,465,9918,欣天然,0.00018700000000000002
465,466,2316,楠梓電,0.000184
466,467,2601,益航,0.000184
467,468,1109,信大,0.000183
468,469,4306,炎洲,0.000182
469,470,6251,定穎,0.000181
470,471,2348,海悅,0.000181
471,472,1608,華榮,0.00017999999999999998
472,473,6666,羅麗芬-KY,0.00017999999999999998
473,474,8463,潤泰材,0.00017999999999999998
474,475,3557,嘉威,0.000179
475,476,2489,瑞軒,0.000178
476,477,6139,亞翔,0.000177
477,478,8473,山林水,0.00017600000000000002
478,479,2514,龍邦,0.000174
479,480,2114,鑫永銓,0.000173
480,481,4564,元翎,0.000173
481,482,5215,科嘉-KY,0.000173
482,483,2727,王品,0.000172
483,484,1527,鑽全,0.000171
484,485,6552,易華電,0.000171
485,486,5607,遠雄港,0.00017
486,487,4540,全球傳動,0.00017
487,488,2712,遠雄來,0.00017
488,489,2731,雄獅,0.000167
489,490,2929,淘帝-KY,0.000167
490,491,4746,台耀,0.000167
491,492,9935,慶豐富,0.000166
492,493,1598,岱宇,0.000166
493,494,1442,名軒,0.000165
494,495,2701,萬企,0.000165
495,496,2527,宏璟,0.000165
496,497,4164,承業醫,0.000165
497,498,1447,力鵬,0.000164
498,499,2472,立隆電,0.00016299999999999998
499,500,3033,威健,0.00016299999999999998
500,501,4426,利勤,0.00016299999999999998
501,502,8480,泰昇-KY,0.00016299999999999998
502,503,8499,鼎炫-KY,0.00016199999999999998
503,504,9942,茂順,0.000161
504,505,4764,雙鍵,0.000161
505,506,3501,維熹,0.000161
506,507,6533,晶心科,0.00016
507,508,8215,明基材,0.00016
508,509,5243,乙盛-KY,0.00015900000000000002
509,510,3130,一零四,0.00015900000000000002
510,511,2485,兆赫,0.000157
511,512,2029,盛餘,0.000157
512,513,4739,康普,0.000157
513,514,3645,達邁,0.000156
514,515,6112,聚碩,0.000156
515,516,4190,佐登-KY,0.000155
516,517,2420,新巨,0.000155
517,518,1708,東鹼,0.000154
518,519,1603,華電,0.000154
519,520,8110,華東,0.000153
520,521,6224,聚鼎,0.000152
